class,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21,x22,y22,z22,x23,y23,z23,x24,y24,z24,x25,y25,z25,x26,y26,z26,x27,y27,z27,x28,y28,z28,x29,y29,z29,x30,y30,z30,x31,y31,z31,x32,y32,z32,x33,y33,z33,x34,y34,z34,x35,y35,z35,x36,y36,z36,x37,y37,z37,x38,y38,z38,x39,y39,z39,x40,y40,z40,x41,y41,z41,x42,y42,z42
F3,0.7813466191291809,0.7282848358154297,2.1863181132175669e-07,0.6878754496574402,0.7024613618850708,-0.016366342082619667,0.614881157875061,0.6315977573394775,-0.019871361553668976,0.5720524191856384,0.5673760175704956,-0.0248019527643919,0.5330524444580078,0.525331437587738,-0.029490141198039055,0.6488891839981079,0.5021246671676636,0.01047463994473219,0.6054600477218628,0.4173584282398224,-0.003785658860579133,0.5798974633216858,0.3637709617614746,-0.02097850665450096,0.5601426362991333,0.3177267611026764,-0.034376028925180435,0.6939124464988708,0.4699447453022003,0.003170070005580783,0.6621368527412415,0.3673107326030731,-0.00635411124676466,0.6429672241210938,0.3019517660140991,-0.022191941738128662,0.6287967562675476,0.24514073133468628,-0.03479575365781784,0.743995189666748,0.4615885615348816,-0.009479273110628128,0.7263055443763733,0.36413684487342834,-0.021701419726014137,0.7138892412185669,0.30076178908348083,-0.035407740622758865,0.7021129727363586,0.24699677526950836,-0.045710932463407516,0.7981376647949219,0.47322389483451843,-0.02467789314687252,0.796488344669342,0.3960987627506256,-0.034754395484924316,0.7893393039703369,0.3489280641078949,-0.039390772581100464,0.7799890041351318,0.30718308687210083,-0.04304241016507149,0.12778593599796295,0.734282374382019,5.402736178439227e-07,0.20339956879615784,0.6994690895080566,-0.025248875841498375,0.265267938375473,0.6356492042541504,-0.0381406769156456,0.30768251419067383,0.5728434324264526,-0.050613317638635635,0.343272864818573,0.5227689146995544,-0.063322514295578,0.22088828682899475,0.5080906748771667,-0.01978030428290367,0.2559375464916229,0.4182082414627075,-0.04184914752840996,0.27573561668395996,0.3632914423942566,-0.06009051576256752,0.2912191152572632,0.31742650270462036,-0.07180781662464142,0.17836804687976837,0.4888330399990082,-0.022447656840085983,0.19777947664260864,0.3828966021537781,-0.039300985634326935,0.21060499548912048,0.31800752878189087,-0.053977370262145996,0.21923977136611938,0.26626574993133545,-0.06372073292732239,0.13564440608024597,0.4931872487068176,-0.028898965567350388,0.13735024631023407,0.3940102458000183,-0.045831289142370224,0.13967305421829224,0.3344305753707886,-0.057095661759376526,0.1430249810218811,0.28610479831695557,-0.06387236714363098,0.09309785068035126,0.5178028345108032,-0.03800635039806366,0.07973465323448181,0.4427955746650696,-0.05353342741727829,0.07331173866987228,0.39499443769454956,-0.05834928900003433,0.06923839449882507,0.35156506299972534,-0.05984397605061531
Hello,0.7680150866508484,0.7271738648414612,3.115378035545291e-07,0.6841832995414734,0.7152068614959717,-0.017723968252539635,0.6071882843971252,0.6478001475334167,-0.01979258470237255,0.5624659061431885,0.5799294710159302,-0.021935636177659035,0.5222834944725037,0.5416865348815918,-0.023847132921218872,0.6379457712173462,0.5056386590003967,0.005431794561445713,0.5941418409347534,0.42237186431884766,-0.006039553787559271,0.5697212219238281,0.3719603717327118,-0.019350649788975716,0.5510351657867432,0.32769131660461426,-0.030332796275615692,0.6815935373306274,0.4745669960975647,-0.0005457184743136168,0.648827850818634,0.36906880140304565,-0.008610010147094727,0.6283365488052368,0.3049541115760803,-0.02194690890610218,0.6118707656860352,0.25155842304229736,-0.03273657336831093,0.727318286895752,0.4672987461090088,-0.011352352797985077,0.7096104621887207,0.3689589500427246,-0.0243677981197834,0.6964271068572998,0.3073391020298004,-0.036420758813619614,0.6835086345672607,0.2545160949230194,-0.04571280628442764,0.774351954460144,0.4781211018562317,-0.02449323982000351,0.7737610340118408,0.4028399586677551,-0.03741342946887016,0.7722894549369812,0.35312777757644653,-0.042736079543828964,0.7693953514099121,0.3068673014640808,-0.0467887818813324,0.13049505650997162,0.7389748692512512,5.243711598268419e-07,0.21164505183696747,0.7092026472091675,-0.028556685894727707,0.2816113531589508,0.6459673047065735,-0.03887161239981651,0.32587844133377075,0.5805654525756836,-0.04800330474972725,0.35896265506744385,0.5291687250137329,-0.05688773840665817,0.23985256254673004,0.5149180889129639,-0.015240336768329144,0.2793298661708832,0.4288615584373474,-0.03412260860204697,0.30119144916534424,0.37312713265419006,-0.05049410089850426,0.31859904527664185,0.32694655656814575,-0.06200644001364708,0.1949414610862732,0.494543194770813,-0.01594855636358261,0.21361032128334045,0.39082688093185425,-0.031682759523391724,0.22593864798545837,0.3250364661216736,-0.04747210815548897,0.2345442920923233,0.27059245109558105,-0.058764614164829254,0.15060725808143616,0.4959617853164673,-0.02101067453622818,0.15610042214393616,0.39706867933273315,-0.03833119198679924,0.16027036309242249,0.33475860953330994,-0.051447875797748566,0.1662691980600357,0.2824355363845825,-0.06008477881550789,0.10634525120258331,0.516937792301178,-0.029129965230822563,0.0937175452709198,0.4437094032764435,-0.047022730112075806,0.08799584209918976,0.3938683569431305,-0.0549481064081192,0.0856204479932785,0.347914457321167,-0.058721285313367844
Thanks ILY,0.7680150866508484,0.7271738648414612,3.115378035545291e-07,0.6841832995414734,0.7152068614959717,-0.017723968252539635,0.6071882843971252,0.6478001475334167,-0.01979258470237255,0.5624659061431885,0.5799294710159302,-0.021935636177659035,0.5222834944725037,0.5416865348815918,-0.023847132921218872,0.6379457712173462,0.5056386590003967,0.005431794561445713,0.5941418409347534,0.42237186431884766,-0.006039553787559271,0.5697212219238281,0.3719603717327118,-0.019350649788975716,0.5510351657867432,0.32769131660461426,-0.030332796275615692,0.6815935373306274,0.4745669960975647,-0.0005457184743136168,0.648827850818634,0.36906880140304565,-0.008610010147094727,0.6283365488052368,0.3049541115760803,-0.02194690890610218,0.6118707656860352,0.25155842304229736,-0.03273657336831093,0.727318286895752,0.4672987461090088,-0.011352352797985077,0.7096104621887207,0.3689589500427246,-0.0243677981197834,0.6964271068572998,0.3073391020298004,-0.036420758813619614,0.6835086345672607,0.2545160949230194,-0.04571280628442764,0.774351954460144,0.4781211018562317,-0.02449323982000351,0.7737610340118408,0.4028399586677551,-0.03741342946887016,0.7722894549369812,0.35312777757644653,-0.042736079543828964,0.7693953514099121,0.3068673014640808,-0.0467887818813324,0.13049505650997162,0.7389748692512512,5.243711598268419e-07,0.21164505183696747,0.7092026472091675,-0.028556685894727707,0.2816113531589508,0.6459673047065735,-0.03887161239981651,0.32587844133377075,0.5805654525756836,-0.04800330474972725,0.35896265506744385,0.5291687250137329,-0.05688773840665817,0.23985256254673004,0.5149180889129639,-0.015240336768329144,0.2793298661708832,0.4288615584373474,-0.03412260860204697,0.30119144916534424,0.37312713265419006,-0.05049410089850426,0.31859904527664185,0.32694655656814575,-0.06200644001364708,0.1949414610862732,0.494543194770813,-0.01594855636358261,0.21361032128334045,0.39082688093185425,-0.031682759523391724,0.22593864798545837,0.3250364661216736,-0.04747210815548897,0.2345442920923233,0.27059245109558105,-0.058764614164829254,0.15060725808143616,0.4959617853164673,-0.02101067453622818,0.15610042214393616,0.39706867933273315,-0.03833119198679924,0.16027036309242249,0.33475860953330994,-0.051447875797748566,0.1662691980600357,0.2824355363845825,-0.06008477881550789,0.10634525120258331,0.516937792301178,-0.029129965230822563,0.0937175452709198,0.4437094032764435,-0.047022730112075806,0.08799584209918976,0.3938683569431305,-0.0549481064081192,0.0856204479932785,0.347914457321167,-0.058721285313367844
F3,0.7680150866508484,0.7271738648414612,3.115378035545291e-07,0.6841832995414734,0.7152068614959717,-0.017723968252539635,0.6071882843971252,0.6478001475334167,-0.01979258470237255,0.5624659061431885,0.5799294710159302,-0.021935636177659035,0.5222834944725037,0.5416865348815918,-0.023847132921218872,0.6379457712173462,0.5056386590003967,0.005431794561445713,0.5941418409347534,0.42237186431884766,-0.006039553787559271,0.5697212219238281,0.3719603717327118,-0.019350649788975716,0.5510351657867432,0.32769131660461426,-0.030332796275615692,0.6815935373306274,0.4745669960975647,-0.0005457184743136168,0.648827850818634,0.36906880140304565,-0.008610010147094727,0.6283365488052368,0.3049541115760803,-0.02194690890610218,0.6118707656860352,0.25155842304229736,-0.03273657336831093,0.727318286895752,0.4672987461090088,-0.011352352797985077,0.7096104621887207,0.3689589500427246,-0.0243677981197834,0.6964271068572998,0.3073391020298004,-0.036420758813619614,0.6835086345672607,0.2545160949230194,-0.04571280628442764,0.774351954460144,0.4781211018562317,-0.02449323982000351,0.7737610340118408,0.4028399586677551,-0.03741342946887016,0.7722894549369812,0.35312777757644653,-0.042736079543828964,0.7693953514099121,0.3068673014640808,-0.0467887818813324,0.13049505650997162,0.7389748692512512,5.243711598268419e-07,0.21164505183696747,0.7092026472091675,-0.028556685894727707,0.2816113531589508,0.6459673047065735,-0.03887161239981651,0.32587844133377075,0.5805654525756836,-0.04800330474972725,0.35896265506744385,0.5291687250137329,-0.05688773840665817,0.23985256254673004,0.5149180889129639,-0.015240336768329144,0.2793298661708832,0.4288615584373474,-0.03412260860204697,0.30119144916534424,0.37312713265419006,-0.05049410089850426,0.31859904527664185,0.32694655656814575,-0.06200644001364708,0.1949414610862732,0.494543194770813,-0.01594855636358261,0.21361032128334045,0.39082688093185425,-0.031682759523391724,0.22593864798545837,0.3250364661216736,-0.04747210815548897,0.2345442920923233,0.27059245109558105,-0.058764614164829254,0.15060725808143616,0.4959617853164673,-0.02101067453622818,0.15610042214393616,0.39706867933273315,-0.03833119198679924,0.16027036309242249,0.33475860953330994,-0.051447875797748566,0.1662691980600357,0.2824355363845825,-0.06008477881550789,0.10634525120258331,0.516937792301178,-0.029129965230822563,0.0937175452709198,0.4437094032764435,-0.047022730112075806,0.08799584209918976,0.3938683569431305,-0.0549481064081192,0.0856204479932785,0.347914457321167,-0.058721285313367844
Hello,0.7792043089866638,0.7240151762962341,2.658578921455046e-07,0.6923249363899231,0.7032997608184814,-0.016166893765330315,0.6168989539146423,0.6389663815498352,-0.019058475270867348,0.5707406401634216,0.5774917006492615,-0.02271932177245617,0.5320319533348083,0.5341170430183411,-0.025895237922668457,0.6499555110931396,0.4996298849582672,0.005177836399525404,0.6036031246185303,0.4177097976207733,-0.00911721121519804,0.5767228603363037,0.36784905195236206,-0.024603206664323807,0.5556421875953674,0.32334962487220764,-0.036559928208589554,0.6951383352279663,0.4687013030052185,-0.002721128985285759,0.661666989326477,0.3635557293891907,-0.011891243048012257,0.639789342880249,0.2982540726661682,-0.025829153135418892,0.623235821723938,0.24464192986488342,-0.03661646321415901,0.7443597316741943,0.46147584915161133,-0.015337665565311909,0.7261977195739746,0.36141619086265564,-0.028525851666927338,0.7111920714378357,0.2978237569332123,-0.039200782775878906,0.6974524259567261,0.24475669860839844,-0.04707058146595955,0.7967842817306519,0.47436901926994324,-0.03018800914287567,0.79423987865448,0.3989483118057251,-0.04210842773318291,0.7877693176269531,0.35119760036468506,-0.04461010918021202,0.7795782685279846,0.31016698479652405,-0.04614046961069107,0.129734069108963,0.7310411334037781,5.23329333645961e-07,0.20516283810138702,0.6970059871673584,-0.02530938945710659,0.27432331442832947,0.6321225762367249,-0.035098832100629807,0.31712275743484497,0.572124183177948,-0.04414689540863037,0.34869182109832764,0.5249089002609253,-0.05303218215703964,0.23396913707256317,0.5106226205825806,-0.019338367506861687,0.26852869987487793,0.4194068908691406,-0.03828705474734306,0.28824615478515625,0.3674176335334778,-0.05387713760137558,0.3047108054161072,0.3238300681114197,-0.06407546997070312,0.18904228508472443,0.4906758666038513,-0.021371714770793915,0.2094404250383377,0.38335123658180237,-0.035894978791475296,0.220706045627594,0.31834274530410767,-0.050174031406641006,0.22835037112236023,0.2664555013179779,-0.06025433540344238,0.14559675753116608,0.4921034574508667,-0.027027282863855362,0.15026924014091492,0.39416223764419556,-0.041497357189655304,0.1525634527206421,0.33633312582969666,-0.052372559905052185,0.156737819314003,0.2888123095035553,-0.05977199971675873,0.10166193544864655,0.5129914283752441,-0.035483572632074356,0.08912169188261032,0.44021451473236084,-0.04922954738140106,0.0821680799126625,0.3939492404460907,-0.05426093935966492,0.07849084585905075,0.3516944646835327,-0.05639742314815521
Thanks ILY,0.7792043089866638,0.7240151762962341,2.658578921455046e-07,0.6923249363899231,0.7032997608184814,-0.016166893765330315,0.6168989539146423,0.6389663815498352,-0.019058475270867348,0.5707406401634216,0.5774917006492615,-0.02271932177245617,0.5320319533348083,0.5341170430183411,-0.025895237922668457,0.6499555110931396,0.4996298849582672,0.005177836399525404,0.6036031246185303,0.4177097976207733,-0.00911721121519804,0.5767228603363037,0.36784905195236206,-0.024603206664323807,0.5556421875953674,0.32334962487220764,-0.036559928208589554,0.6951383352279663,0.4687013030052185,-0.002721128985285759,0.661666989326477,0.3635557293891907,-0.011891243048012257,0.639789342880249,0.2982540726661682,-0.025829153135418892,0.623235821723938,0.24464192986488342,-0.03661646321415901,0.7443597316741943,0.46147584915161133,-0.015337665565311909,0.7261977195739746,0.36141619086265564,-0.028525851666927338,0.7111920714378357,0.2978237569332123,-0.039200782775878906,0.6974524259567261,0.24475669860839844,-0.04707058146595955,0.7967842817306519,0.47436901926994324,-0.03018800914287567,0.79423987865448,0.3989483118057251,-0.04210842773318291,0.7877693176269531,0.35119760036468506,-0.04461010918021202,0.7795782685279846,0.31016698479652405,-0.04614046961069107,0.129734069108963,0.7310411334037781,5.23329333645961e-07,0.20516283810138702,0.6970059871673584,-0.02530938945710659,0.27432331442832947,0.6321225762367249,-0.035098832100629807,0.31712275743484497,0.572124183177948,-0.04414689540863037,0.34869182109832764,0.5249089002609253,-0.05303218215703964,0.23396913707256317,0.5106226205825806,-0.019338367506861687,0.26852869987487793,0.4194068908691406,-0.03828705474734306,0.28824615478515625,0.3674176335334778,-0.05387713760137558,0.3047108054161072,0.3238300681114197,-0.06407546997070312,0.18904228508472443,0.4906758666038513,-0.021371714770793915,0.2094404250383377,0.38335123658180237,-0.035894978791475296,0.220706045627594,0.31834274530410767,-0.050174031406641006,0.22835037112236023,0.2664555013179779,-0.06025433540344238,0.14559675753116608,0.4921034574508667,-0.027027282863855362,0.15026924014091492,0.39416223764419556,-0.041497357189655304,0.1525634527206421,0.33633312582969666,-0.052372559905052185,0.156737819314003,0.2888123095035553,-0.05977199971675873,0.10166193544864655,0.5129914283752441,-0.035483572632074356,0.08912169188261032,0.44021451473236084,-0.04922954738140106,0.0821680799126625,0.3939492404460907,-0.05426093935966492,0.07849084585905075,0.3516944646835327,-0.05639742314815521
F3,0.7792043089866638,0.7240151762962341,2.658578921455046e-07,0.6923249363899231,0.7032997608184814,-0.016166893765330315,0.6168989539146423,0.6389663815498352,-0.019058475270867348,0.5707406401634216,0.5774917006492615,-0.02271932177245617,0.5320319533348083,0.5341170430183411,-0.025895237922668457,0.6499555110931396,0.4996298849582672,0.005177836399525404,0.6036031246185303,0.4177097976207733,-0.00911721121519804,0.5767228603363037,0.36784905195236206,-0.024603206664323807,0.5556421875953674,0.32334962487220764,-0.036559928208589554,0.6951383352279663,0.4687013030052185,-0.002721128985285759,0.661666989326477,0.3635557293891907,-0.011891243048012257,0.639789342880249,0.2982540726661682,-0.025829153135418892,0.623235821723938,0.24464192986488342,-0.03661646321415901,0.7443597316741943,0.46147584915161133,-0.015337665565311909,0.7261977195739746,0.36141619086265564,-0.028525851666927338,0.7111920714378357,0.2978237569332123,-0.039200782775878906,0.6974524259567261,0.24475669860839844,-0.04707058146595955,0.7967842817306519,0.47436901926994324,-0.03018800914287567,0.79423987865448,0.3989483118057251,-0.04210842773318291,0.7877693176269531,0.35119760036468506,-0.04461010918021202,0.7795782685279846,0.31016698479652405,-0.04614046961069107,0.129734069108963,0.7310411334037781,5.23329333645961e-07,0.20516283810138702,0.6970059871673584,-0.02530938945710659,0.27432331442832947,0.6321225762367249,-0.035098832100629807,0.31712275743484497,0.572124183177948,-0.04414689540863037,0.34869182109832764,0.5249089002609253,-0.05303218215703964,0.23396913707256317,0.5106226205825806,-0.019338367506861687,0.26852869987487793,0.4194068908691406,-0.03828705474734306,0.28824615478515625,0.3674176335334778,-0.05387713760137558,0.3047108054161072,0.3238300681114197,-0.06407546997070312,0.18904228508472443,0.4906758666038513,-0.021371714770793915,0.2094404250383377,0.38335123658180237,-0.035894978791475296,0.220706045627594,0.31834274530410767,-0.050174031406641006,0.22835037112236023,0.2664555013179779,-0.06025433540344238,0.14559675753116608,0.4921034574508667,-0.027027282863855362,0.15026924014091492,0.39416223764419556,-0.041497357189655304,0.1525634527206421,0.33633312582969666,-0.052372559905052185,0.156737819314003,0.2888123095035553,-0.05977199971675873,0.10166193544864655,0.5129914283752441,-0.035483572632074356,0.08912169188261032,0.44021451473236084,-0.04922954738140106,0.0821680799126625,0.3939492404460907,-0.05426093935966492,0.07849084585905075,0.3516944646835327,-0.05639742314815521
Hello,0.8039880394935608,0.7166826128959656,2.6641077965905424e-07,0.7273412942886353,0.6781049966812134,-0.019735297188162804,0.6615821719169617,0.6004692316055298,-0.024287542328238487,0.6174781918525696,0.5317324995994568,-0.029482215642929077,0.5807777047157288,0.4857293665409088,-0.03490922972559929,0.7035079002380371,0.4806082248687744,-0.0014832864981144667,0.6672596335411072,0.3910783529281616,-0.021012473851442337,0.6453344225883484,0.33435723185539246,-0.03928587585687637,0.628760814666748,0.2842526137828827,-0.05245644971728325,0.7437502145767212,0.4505684971809387,-0.007940353825688362,0.7207606434822083,0.34065550565719604,-0.02375372126698494,0.7052255272865295,0.27306631207466125,-0.04066764935851097,0.6927292943000793,0.21516543626785278,-0.05315230414271355,0.7858961224555969,0.4416489601135254,-0.01927350088953972,0.7790625095367432,0.3361322283744812,-0.038714416325092316,0.7750300168991089,0.2688537836074829,-0.051511481404304504,0.7719791531562805,0.21315652132034302,-0.05964941903948784,0.828762948513031,0.4520457684993744,-0.033040449023246765,0.8345001935958862,0.362128347158432,-0.04885256290435791,0.8444008231163025,0.3076156973838806,-0.05293192341923714,0.8528553247451782,0.2637394070625305,-0.05525878816843033,0.0842847153544426,0.733455240726471,4.889866431767587e-07,0.15730279684066772,0.6831543445587158,-0.025379449129104614,0.2212062031030655,0.6088427305221558,-0.03482700511813164,0.25808796286582947,0.5438696146011353,-0.043367303907871246,0.27991601824760437,0.49724647402763367,-0.052894968539476395,0.17462068796157837,0.5138366222381592,-0.025549549609422684,0.20496027171611786,0.4222920536994934,-0.04785434529185295,0.22012972831726074,0.3633476495742798,-0.0666811540722847,0.2312106043100357,0.312127023935318,-0.07984231412410736,0.12831473350524902,0.4976339638233185,-0.029162965714931488,0.13819937407970428,0.3867248296737671,-0.04796995595097542,0.14355042576789856,0.31597891449928284,-0.06661609560251236,0.14621135592460632,0.259239137172699,-0.08079256117343903,0.0838390365242958,0.5020694732666016,-0.03602084517478943,0.08050545305013657,0.40032854676246643,-0.05471721291542053,0.07901676744222641,0.33667701482772827,-0.06964980810880661,0.0774008110165596,0.28556790947914124,-0.08035078644752502,0.04042486846446991,0.5248785018920898,-0.04552764445543289,0.02423374354839325,0.4462556838989258,-0.06321536749601364,0.014239311218261719,0.3964933156967163,-0.07183091342449188,0.007856786251068115,0.35123008489608765,-0.07724957168102264
Thanks ILY,0.8039880394935608,0.7166826128959656,2.6641077965905424e-07,0.7273412942886353,0.6781049966812134,-0.019735297188162804,0.6615821719169617,0.6004692316055298,-0.024287542328238487,0.6174781918525696,0.5317324995994568,-0.029482215642929077,0.5807777047157288,0.4857293665409088,-0.03490922972559929,0.7035079002380371,0.4806082248687744,-0.0014832864981144667,0.6672596335411072,0.3910783529281616,-0.021012473851442337,0.6453344225883484,0.33435723185539246,-0.03928587585687637,0.628760814666748,0.2842526137828827,-0.05245644971728325,0.7437502145767212,0.4505684971809387,-0.007940353825688362,0.7207606434822083,0.34065550565719604,-0.02375372126698494,0.7052255272865295,0.27306631207466125,-0.04066764935851097,0.6927292943000793,0.21516543626785278,-0.05315230414271355,0.7858961224555969,0.4416489601135254,-0.01927350088953972,0.7790625095367432,0.3361322283744812,-0.038714416325092316,0.7750300168991089,0.2688537836074829,-0.051511481404304504,0.7719791531562805,0.21315652132034302,-0.05964941903948784,0.828762948513031,0.4520457684993744,-0.033040449023246765,0.8345001935958862,0.362128347158432,-0.04885256290435791,0.8444008231163025,0.3076156973838806,-0.05293192341923714,0.8528553247451782,0.2637394070625305,-0.05525878816843033,0.0842847153544426,0.733455240726471,4.889866431767587e-07,0.15730279684066772,0.6831543445587158,-0.025379449129104614,0.2212062031030655,0.6088427305221558,-0.03482700511813164,0.25808796286582947,0.5438696146011353,-0.043367303907871246,0.27991601824760437,0.49724647402763367,-0.052894968539476395,0.17462068796157837,0.5138366222381592,-0.025549549609422684,0.20496027171611786,0.4222920536994934,-0.04785434529185295,0.22012972831726074,0.3633476495742798,-0.0666811540722847,0.2312106043100357,0.312127023935318,-0.07984231412410736,0.12831473350524902,0.4976339638233185,-0.029162965714931488,0.13819937407970428,0.3867248296737671,-0.04796995595097542,0.14355042576789856,0.31597891449928284,-0.06661609560251236,0.14621135592460632,0.259239137172699,-0.08079256117343903,0.0838390365242958,0.5020694732666016,-0.03602084517478943,0.08050545305013657,0.40032854676246643,-0.05471721291542053,0.07901676744222641,0.33667701482772827,-0.06964980810880661,0.0774008110165596,0.28556790947914124,-0.08035078644752502,0.04042486846446991,0.5248785018920898,-0.04552764445543289,0.02423374354839325,0.4462556838989258,-0.06321536749601364,0.014239311218261719,0.3964933156967163,-0.07183091342449188,0.007856786251068115,0.35123008489608765,-0.07724957168102264
F3,0.8039880394935608,0.7166826128959656,2.6641077965905424e-07,0.7273412942886353,0.6781049966812134,-0.019735297188162804,0.6615821719169617,0.6004692316055298,-0.024287542328238487,0.6174781918525696,0.5317324995994568,-0.029482215642929077,0.5807777047157288,0.4857293665409088,-0.03490922972559929,0.7035079002380371,0.4806082248687744,-0.0014832864981144667,0.6672596335411072,0.3910783529281616,-0.021012473851442337,0.6453344225883484,0.33435723185539246,-0.03928587585687637,0.628760814666748,0.2842526137828827,-0.05245644971728325,0.7437502145767212,0.4505684971809387,-0.007940353825688362,0.7207606434822083,0.34065550565719604,-0.02375372126698494,0.7052255272865295,0.27306631207466125,-0.04066764935851097,0.6927292943000793,0.21516543626785278,-0.05315230414271355,0.7858961224555969,0.4416489601135254,-0.01927350088953972,0.7790625095367432,0.3361322283744812,-0.038714416325092316,0.7750300168991089,0.2688537836074829,-0.051511481404304504,0.7719791531562805,0.21315652132034302,-0.05964941903948784,0.828762948513031,0.4520457684993744,-0.033040449023246765,0.8345001935958862,0.362128347158432,-0.04885256290435791,0.8444008231163025,0.3076156973838806,-0.05293192341923714,0.8528553247451782,0.2637394070625305,-0.05525878816843033,0.0842847153544426,0.733455240726471,4.889866431767587e-07,0.15730279684066772,0.6831543445587158,-0.025379449129104614,0.2212062031030655,0.6088427305221558,-0.03482700511813164,0.25808796286582947,0.5438696146011353,-0.043367303907871246,0.27991601824760437,0.49724647402763367,-0.052894968539476395,0.17462068796157837,0.5138366222381592,-0.025549549609422684,0.20496027171611786,0.4222920536994934,-0.04785434529185295,0.22012972831726074,0.3633476495742798,-0.0666811540722847,0.2312106043100357,0.312127023935318,-0.07984231412410736,0.12831473350524902,0.4976339638233185,-0.029162965714931488,0.13819937407970428,0.3867248296737671,-0.04796995595097542,0.14355042576789856,0.31597891449928284,-0.06661609560251236,0.14621135592460632,0.259239137172699,-0.08079256117343903,0.0838390365242958,0.5020694732666016,-0.03602084517478943,0.08050545305013657,0.40032854676246643,-0.05471721291542053,0.07901676744222641,0.33667701482772827,-0.06964980810880661,0.0774008110165596,0.28556790947914124,-0.08035078644752502,0.04042486846446991,0.5248785018920898,-0.04552764445543289,0.02423374354839325,0.4462556838989258,-0.06321536749601364,0.014239311218261719,0.3964933156967163,-0.07183091342449188,0.007856786251068115,0.35123008489608765,-0.07724957168102264
